fsa,city,area
T1A,Medicine Hat,Central
T2A,Calgary,Penbrooke Meadows / Marlborough
T3A,Calgary,Dalhousie / Edgemont / Hamptons / Hidden Valley
T4A,Airdrie,East
T5A,Edmonton,WestClareview /  EastLondonderry
T6A,Edmonton,NorthCapilano
T7A,Drayton Valley,
T8A,Sherwood Park,West
T9A,Wetaskiwin,
T1B,Medicine Hat,South
T2B,Calgary,Forest Lawn / Dover / Erin Woods
T3B,Calgary,Montgomery / Bowness / Silver Springs / Greenwood
T4B,Airdrie,West
T5B,Edmonton,East North Central  /  WestBeverly
T6B,Edmonton,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon
T8B,Sherwood Park,Outer Southwest
T1C,Medicine Hat,North
T2C,Calgary,Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains
T3C,Calgary,Rosscarrock / Westgate / Wildwood / Shaganappi / Sunalta
T4C,Cochrane,
T5C,Edmonton,CentralLondonderry
T6C,Edmonton,CentralBonnie Doon
T8C,Sherwood Park,Inner Southwest
T9C,Vegreville,
T2E,Calgary,Bridgeland / Greenview / Zoo / YYC
T3E,Calgary,Lakeview / Glendale / Killarney / Glamorgan
T4E,Red Deer County,
T5E,Edmonton,WestLondonderry /  EastCalder
T6E,Edmonton,SouthBonnie Doon /  EastUniversity
T7E,Edson,
T8E,Sherwood Park,Central(Ardrossan
T9E,Leduc,IncludesYEG
T1G,Taber,
T2G,Calgary,Inglewood / Burnsland / Chinatown /  EastVictoria Park / Saddledome
T3G,Calgary,Hawkwood / Arbour Lake / Citadel / Ranchlands / Royal Oak / Rocky Ridge
T4G,Innisfail,
T5G,Edmonton,North Central  / Queen Mary Park / Blatchford
T6G,Edmonton,WestUniversity / Strathcona Place
T8G,Sherwood Park, /  ArdrossanEast
T9G,Devon,
T1H,Lethbridge,North
T2H,Calgary,Highfield / Burns Industrial
T3H,Calgary,Discovery Ridge / Signal Hill / West Springs / Christie Park / Patterson / Cougar Ridge
T4H,Olds,
T5H,Edmonton,North and EastDowntown Fringe
T6H,Edmonton,Southgate /  NorthRiverbend
T8H,Sherwood Park,Northwest
T9H,Fort McMurray,Outer Central
T1J,Lethbridge,West and Central
T2J,Calgary,Queensland / Lake Bonavista / Willow Park / Acadia
T3J,Calgary,Martindale / Taradale / Falconridge / Saddle Ridge
T4J,Ponoka,
T5J,Edmonton,NorthDowntown
T6J,Edmonton,Kaskitayo / Aspen Gardens
T9J,Fort McMurray,Inner Central
T1K,Lethbridge,West and South
T2K,Calgary,Thorncliffe / Tuxedo Park
