id,name,fsa_code,area,main_type,cuisine_group,price_level,rating,user_rating_count,menu_for_children,good_for_children,good_for_groups,accepts_non_cash,has_free_parking,has_paid_parking,open_24hrs,weekday_open_days,weekend_open_days,total_hrs,avg_daily_hrs,avg_weekday_hrs,avg_weekend_hrs
ChIJQWNpDe0YoFMRto7xgtIAHEk,Ecity Flame (Best Offer on Website),T6E,SouthBonnie Doon /  EastUniversity,fast or casual dining,breakfast restaurant,inexpensive,4.0,749.0,True,True,True,True,True,False,False,5,2,93.0,13.285714285714286,13.2,13.5
ChIJt4Bu_ksZoFMRR0pb8OvRXoQ,JT's Bar & Grill,T6K,WestMill Woods,beverage and bar,bar,moderate,4.3,884.0,False,False,True,True,True,False,False,5,2,102.0,14.571428571428571,14.4,15.0
ChIJ44uK6H8YoFMR7-As8n-sr98,The Soban sushi & asian taste,T6B,SECapilano /  WestSoutheast Industrial /  EastBonnie Doon,asian cuisine,japanese restaurant,moderate,4.6,732.0,False,True,True,True,True,False,False,5,2,60.0,8.571428571428571,7.9,10.25
ChIJMf4TBj4ZoFMRTrRLBranVmU,Panago Pizza,T6L,EastMill Woods,delivery or takeaway,meal delivery,moderate,4.0,95.0,False,False,False,True,True,False,False,5,2,93.0,13.285714285714286,13.2,13.5
ChIJWzGu-MMeoFMRzyGYhWapt5w,Mikado Southside,T6N,South Industrial,asian cuisine,japanese restaurant,expensive,4.3,1568.0,False,True,True,True,True,False,False,5,2,70.0,10.0,10.0,10.0
ChIJQXNimvQhoFMReiq_Khg7dag,Bento Sushi,T6G,WestUniversity / Strathcona Place,delivery or takeaway,meal takeaway,moderate,4.0,90.0,False,False,False,True,False,False,False,5,2,101.0,14.428571428571429,16.8,8.5
ChIJL9zbMZ8eoFMR2f2L4qMNXcs,Freshii,T6X,Ellerslie,generic restaurant,restaurant,moderate,3.7,234.0,True,True,False,True,True,False,False,5,2,75.0,10.714285714285714,11.0,10.0
ChIJ5RTmsIIkoFMRSG_19ypLATE,Earls Kitchen + Bar,T5T,West Jasper Place / West Edmonton Mall,beverage and bar,bar,moderate,4.4,2422.0,True,False,True,True,True,False,False,5,2,85.0,12.142857142857142,12.2,12.0
ChIJBc2Uu0UioFMRIhOMQPRPXHY,Share Restaurant,T5J,NorthDowntown,generic restaurant,restaurant,moderate,3.2,36.0,False,False,True,True,False,True,False,5,2,79.5,11.357142857142858,11.5,11.0
ChIJH5Z-A-YjoFMRXuf06cV7uf0,Subway,T5L,NorthWestmount /  WestCalder /  EastMistatim,fast or casual dining,fast food restaurant,inexpensive,3.4,233.0,True,True,False,True,True,False,False,5,2,99.0,14.142857142857142,14.2,14.0
ChIJT9VBujMfoFMRxxUbol2VAak,Mai Mai - Viet Street Kitchen,T6R,Riverbend,asian cuisine,vietnamese restaurant,moderate,4.6,383.0,True,True,True,True,True,False,False,4,2,67.0,11.166666666666666,11.25,11.0
ChIJrUqTtUUioFMRZS0Hfac_axw,Ruth's Chris Steak House Edmonton,T6G,WestUniversity / Strathcona Place,western cuisine,american restaurant,very expensive,4.5,1466.0,False,False,True,True,False,True,False,5,2,37.0,5.285714285714286,5.2,5.5
